Designator,Value,Center-X,Center-Y,Rotation
ANT1,1004795,2972.486,1216.433,270
C1,22UF-0603-10V,1822.835,652.559,0
C6,22UF-0603-10V,1736.220,1119.094,270
C9,22UF-0603-10V,1568.898,1119.094,270
C13,22UF-0603-10V,1821.851,703.740,180
C34,22UF-0603-10V,1302.785,1738.816,0
C39,22UF-0603-10V,1821.850,1249.016,180
C40,22UF-0603-10V,1270.305,1652.202,90
C51,22UF-0603-10V,1077.756,248.031,180
C52,22UF-0603-10V,1250.000,175.462,270
C10,10PF-0402-50V,1580.708,1322.835,0
C11,33PF-0402-50V,1580.708,1283.465,0
C19,33PF-0402-50V,2636.811,173.228,180
C21,33PF-0402-50V,2362.205,582.677,0
C42,33PF-0402-50V,2277.559,582.677,180
C12,4.7UF-0402-6.3V,1804.134,988.189,0
C17,4.7UF-0402-6.3V,803.937,1490.779,0
C25,4.7UF-0402-6.3V,697.638,1509.480,270
C31,4.7UF-0402-6.3V,734.055,1509.480,90
C37,4.7UF-0402-6.3V,1804.134,950.787,0
C16,100NF-0201-6.3V,965.354,1705.346,180
C18,100NF-0201-6.3V,782.284,1538.429,90
C20,100NF-0201-6.3V,835.433,1780.149,270
C23,100NF-0201-6.3V,911.221,1538.428,90
C26,100NF-0201-6.3V,1022.441,1705.346,0
C29,100NF-0201-6.3V,877.756,1538.429,90
C32,100NF-0201-6.3V,813.780,1538.429,90
C35,100NF-0201-6.3V,1383.859,1680.745,270
C44,100NF-0201-6.3V,1211.009,1615.555,0
C55,100NF-0201-6.3V,845.535,1538.429,90
C72,100NF-0201-6.3V,680.906,1624.637,270
C73,100NF-0201-6.3V,724.213,1636.448,0
C2,100NF-0402-6.3V,1845.472,573.819,270
C5,100NF-0402-6.3V,2089.567,573.882,90
C7,100NF-0402-6.3V,1674.213,1039.370,0
C8,100NF-0402-6.3V,1580.709,1243.110,180
C14,100NF-0402-6.3V,1910.433,691.929,90
C15,100NF-0402-6.3V,2636.811,135.827,180
C36,100NF-0402-6.3V,1804.134,914.370,0
C38,100NF-0402-6.3V,1910.433,1260.827,270
C22,47NF-0402-50V,2000.000,573.819,270
C57,47NF-0402-50V,1674.213,1198.819,180
C24,100NF-0402-50V,696.845,202.953,270
C58,100NF-0402-50V,963.583,138.780,0
C61,100NF-0402-50V,1154.282,157.745,270
C27,1UF-0201-6.3V,736.024,1580.346,90
C3,22UF-0603-6.3V,1792.323,556.165,270
C4,22UF-0603-6.3V,2047.244,556.102,90
C41,1000PF-0201-25V,803.937,1780.149,90
C45,10NF-0402-50V,572.638,1571.487,0
C46,15PF-0402-50V,554.921,1509.480,90
C47,3.3PF-0201-50V,680.906,1717.157,270
C48,22UF-0805-25V,616.142,179.134,270
C49,22UF-0805-25V,765.748,179.134,270
C62,22UF-0805-25V,851.378,179.134,270
C50,10PF-0402-50V,375.984,162.081,270
C53,220UF-6.3V,1383.858,183.071,0
D1,PESD0U1BB,2372.050,680.118,270
D2,PESD0U1BB,2441.929,681.102,270
D3,PESD0U1BB,2441.929,582.677,0
D4,PESD0U1BB,2198.228,582.677,180
DS1,RED-LED,2045.275,1261.811,90
FB1,BLM15PD121SN1D,591.339,1512.433,270
FB3,BLM15PD121SN1D,1030.315,1637.433,90
FB6,BLM15PD121SN1D,675.984,1571.487,0
FB7,BLM15PD121SN1D,654.331,1512.432,270
FB8,BLM15PD121SN1D,886.614,1490.779,180
FB2,SBK160808T-601Y-N,1198.819,175.462,90
FB4,BLM18PG181SN1D,728.341,269.894,0
GPS1,1001039,874.016,911.417,270
L11,7427927110,1585.630,1198.819,180
L2,1285AS-H-2R2M,1200.670,1686.651,90
L12,1285AS-H-2R2M,1077.756,161.417,0
L4,LQP03TN8N2J02D,486.367,1666.017,0
L5,LQP03TN6N8J02D,725.197,1705.346,0
M1,NRF9160-SICA-R,2195.866,976.378,0
Q1,PMF170XP,1924.213,540.354,270
Q2,PMF170XP,1646.653,1120.079,90
Q3,SQ2319ADS-T1-GE3,455.817,182.878,180
R1,10K-0402,1692.331,807.087,0
R4,10K-0402,1966.535,1261.811,90
R6,10K-0402,541.560,161.709,90
R14,20K-0402,1154.527,233.268,270
R15,1M2-0402,1921.260,618.110,180
R17,1M2-0402,1584.646,1039.370,180
R2,10R-0402,2205.709,688.976,270
R3,100R-0402,2084.646,1261.811,270
R7,100R-0402,2167.323,688.976,90
R8,100R-0402,2089.567,688.976,90
R9,100R-0402,2127.953,688.976,90
R10,100R-0402,2006.890,1261.811,90
R11,100R-0402,2291.339,688.976,270
R12,100R-0402,2249.016,688.976,270
R13,100R-0402,1321.487,1838.954,90
R16,100R-0402,1283.099,1838.954,90
R42,100R-0402,1083.349,1637.048,270
R41,10K-0201,965.354,1611.842,180
RF_GNSS_S1,1.2PF,450.591,1450.047,270
RF_GNSS_S2,LQP03TN5N6H02D,450.591,1538.630,270
RF_P1,LQW15AN6N8G00D,2688.976,806.806,270
RF_P4,1.2PF,2564.961,978.346,270
RF_S1,5.1PF,2630.220,785.153,180
RF_S2,MHQ1005P1N0BT000,2608.567,935.040,270
U1,SST26WF064C-104I-MF,1638.918,630.952,270
U14,TPS22915CYFPR,1081.693,1704.205,0
U15,TPS22915CYFPR,990.945,1656.133,180
U2,LIS2DH12TR,1999.016,687.992,270
U3,BGM220PC22WGA2--352K-FLASH,1703.740,1682.874,0
U4,CXD5612GF-T2,843.046,1659.086,0
U5,MAX38640AENT+,1333.297,1669.918,90
U6,SAFFB1G56KB0F0A,486.367,1607.905,90
U7,SAFFB1G56KB0F0A,625.994,1689.911,0
U8,BGA524N6E6327XTSA1,553.159,1664.171,180
U9,MAX38640AELT+T,963.583,213.583,180
Y2,NT2016SA-26.000000MHZ-NBG2,986.024,1795.897,180

